"age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
26,"Private",485117,"Bachelors",13,"Never-married","Transport-moving","Own-child","White","Male",0,0,20,"United-States","<=50K"
31,"Private",121768,"Assoc-acdm",12,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"Poland","<=50K"
28,"Private",66777,"Assoc-voc",11,"Married-civ-spouse","Other-service","Other-relative","White","Female",3137,0,40,"United-States","<=50K"
27,"Private",205188,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Private",326104,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
47,"Private",192793,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran",">50K"
60,"State-gov",152711,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
36,"Private",116608,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",4865,0,40,"United-States","<=50K"
55,"Private",156089,"Some-college",10,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
57,"Federal-gov",370890,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Male",0,2258,40,"United-States","<=50K"
35,"Private",212465,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
23,"Private",73514,"HS-grad",9,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,"Vietnam","<=50K"
45,"Private",341995,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,42,"United-States",">50K"
57,"Private",217886,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,36,"United-States","<=50K"
24,"State-gov",413345,"Some-college",10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States","<=50K"
47,"Private",144351,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,625,40,"United-States","<=50K"
31,"Private",193650,"11th",7,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
59,"Private",43221,"9th",5,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,"United-States",">50K"
20,"Private",317443,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,15,"United-States","<=50K"
26,"Private",212793,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
47,"Private",267205,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"?",">50K"
41,"Private",280167,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,70,"United-States",">50K"
67,"Self-emp-inc",112318,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
28,"Private",272913,"10th",6,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,30,"Mexico","<=50K"
40,"Self-emp-inc",182437,"Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,50,"United-States",">50K"
53,"Private",29557,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
54,"Local-gov",184620,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
24,"Private",127753,"12th",8,"Never-married","Craft-repair","Other-relative","White","Male",0,0,40,"United-States","<=50K"
49,"Private",379779,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
23,"Private",194096,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K"
23,"Local-gov",442359,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1092,40,"United-States","<=50K"
27,"Private",198188,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",2580,0,45,"United-States","<=50K"
30,"Private",155781,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,70,"United-States","<=50K"
22,"Private",217363,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
42,"Private",186376,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,72,"Philippines",">50K"
26,"Private",184872,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,55,"United-States",">50K"
58,"Private",180980,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,42,"France","<=50K"
45,"Private",99355,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,"United-States",">50K"
55,"Private",141877,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
41,"Private",169628,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","Black","Female",0,0,40,"?","<=50K"
55,"?",170994,"HS-grad",9,"Never-married","?","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
43,"State-gov",270721,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",">50K"
37,"Private",143058,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
27,"Private",133937,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
57,"State-gov",109015,"12th",8,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
42,"Self-emp-inc",78765,"Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Male",0,0,90,"United-States",">50K"
20,"Private",105312,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,18,"United-States","<=50K"
56,"Private",203580,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,"?","<=50K"
31,"Private",190027,"HS-grad",9,"Never-married","Other-service","Other-relative","Black","Female",0,0,40,"?","<=50K"
40,"Private",233320,"7th-8th",4,"Separated","Other-service","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
59,"Private",384246,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
46,"Private",28419,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,50,"United-States",">50K"
60,"Private",39952,"9th",5,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",2228,0,37,"United-States","<=50K"
51,"Private",41806,"11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
38,"Private",60355,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
35,"Private",240467,"HS-grad",9,"Married-spouse-absent","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
62,"Private",153148,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,84,"United-States","<=50K"
54,"Private",108960,"11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
34,"Private",281852,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","Black","Male",0,0,80,"United-States","<=50K"
52,"Private",132973,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"United-States","<=50K"
76,"?",211574,"10th",6,"Married-civ-spouse","?","Husband","White","Male",0,0,1,"United-States","<=50K"
47,"Local-gov",162187,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1887,40,"United-States",">50K"
36,"Private",209609,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,38,"United-States","<=50K"
29,"Private",105422,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
27,"Private",706026,"11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
47,"Self-emp-not-inc",152752,"5th-6th",3,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,20,"United-States","<=50K"
47,"Private",115613,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",">50K"
49,"Local-gov",170846,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
47,"Private",176239,"Some-college",10,"Widowed","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
20,"Private",176321,"12th",8,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"Mexico","<=50K"
26,"Local-gov",265230,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
29,"Private",136017,"10th",6,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,48,"United-States","<=50K"
38,"Private",52738,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
37,"Private",210438,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
29,"Private",221366,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",5013,0,40,"Germany","<=50K"
33,"?",211699,"Some-college",10,"Divorced","?","Unmarried","White","Female",0,0,40,"United-States","<=50K"
19,"Private",187352,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
31,"Private",84154,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,38,"?",">50K"
27,"Private",161087,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"United-States","<=50K"
22,"Private",197387,"Some-college",10,"Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,24,"Mexico","<=50K"
35,"Private",265535,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,50,"Jamaica",">50K"
40,"Federal-gov",196456,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
59,"Private",142182,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States",">50K"
38,"Private",131461,"9th",5,"Married-civ-spouse","Other-service","Wife","Black","Female",0,0,24,"Haiti","<=50K"
60,"Private",227266,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,33,"United-States","<=50K"
42,"State-gov",148316,"Assoc-voc",11,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
58,"Private",140363,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Male",0,0,36,"United-States","<=50K"
33,"Self-emp-not-inc",177828,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
29,"Private",307812,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
55,"?",205527,"HS-grad",9,"Divorced","?","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
21,"Private",205844,"Some-college",10,"Never-married","Sales","Own-child","Black","Female",0,0,25,"United-States","<=50K"
22,"?",291547,"5th-6th",3,"Married-civ-spouse","?","Wife","Other","Female",0,0,40,"Mexico","<=50K"
24,"Local-gov",84257,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
40,"Private",111020,"HS-grad",9,"Separated","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
17,"Private",130806,"10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,24,"United-States","<=50K"
43,"Private",114580,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
41,"Self-emp-not-inc",174395,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,55,"United-States",">50K"
28,"Private",129460,"9th",5,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"El-Salvador","<=50K"
17,"Private",152696,"12th",8,"Never-married","Other-service","Own-child","White","Female",0,0,30,"United-States","<=50K"
33,"Self-emp-not-inc",361497,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Private",206008,"Assoc-acdm",12,"Never-married","Prof-specialty","Own-child","Black","Male",0,0,20,"United-States","<=50K"
28,"Local-gov",229223,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Wife","White","Female",7688,0,36,"United-States",">50K"
30,"Private",231413,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
48,"Self-emp-not-inc",104790,"11th",7,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,"United-States",">50K"
27,"Local-gov",229223,"Some-college",10,"Never-married","Protective-serv","Own-child","White","Female",0,0,40,"United-States",">50K"
31,"Private",255004,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,1741,38,"United-States","<=50K"
31,"Private",164243,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1579,40,"United-States","<=50K"
71,"?",287372,"Doctorate",16,"Married-civ-spouse","?","Husband","White","Male",0,0,10,"United-States",">50K"
39,"Private",106347,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
18,"State-gov",342852,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
67,"Self-emp-not-inc",123393,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",6418,0,58,"United-States",">50K"
37,"Self-emp-not-inc",204501,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,20,"Canada",">50K"
26,"Private",100147,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,45,"United-States",">50K"
24,"Private",283872,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Black","Male",0,0,20,"United-States","<=50K"
60,"Private",320376,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,40,"United-States","<=50K"
19,"Private",530454,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
39,"Private",240841,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
30,"Private",115963,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Private",279472,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",7298,0,48,"United-States",">50K"
47,"Private",278900,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Private",238917,"5th-6th",3,"Never-married","Craft-repair","Unmarried","White","Male",0,0,40,"El-Salvador","<=50K"
23,"Private",197387,"5th-6th",3,"Married-civ-spouse","Transport-moving","Other-relative","White","Male",0,0,40,"Mexico","<=50K"
23,"Private",292023,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,30,"United-States","<=50K"
38,"Private",39606,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
32,"Private",160362,"Some-college",10,"Divorced","Other-service","Other-relative","White","Male",0,0,40,"Nicaragua","<=50K"
55,"Local-gov",123382,"Assoc-voc",11,"Separated","Prof-specialty","Unmarried","Black","Female",0,0,35,"United-States","<=50K"
28,"Private",186239,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
32,"Private",201988,"Prof-school",15,"Married-civ-spouse","Sales","Husband","White","Male",4508,0,40,"?","<=50K"
30,"Private",167832,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
49,"Private",114797,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
24,"Private",83141,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
30,"Private",186269,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","<=50K"
20,"Private",105479,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
51,"Self-emp-inc",195638,"Some-college",10,"Separated","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
43,"Private",91949,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
46,"Private",384795,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","Black","Female",0,0,32,"United-States","<=50K"
41,"Private",147372,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States","<=50K"
29,"Private",193152,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
56,"Private",53366,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
34,"Private",152667,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,35,"United-States","<=50K"
37,"Federal-gov",448337,"HS-grad",9,"Never-married","Exec-managerial","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
41,"Private",43945,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"?","<=50K"
40,"Private",92036,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States",">50K"
47,"Federal-gov",211123,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
39,"Private",32650,"Assoc-voc",11,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
22,"Private",141297,"Some-college",10,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States","<=50K"
67,"Self-emp-not-inc",105907,"1st-4th",2,"Widowed","Other-service","Not-in-family","Black","Female",0,0,20,"United-States","<=50K"
55,"Private",414994,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
25,"Private",164488,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
53,"Private",211654,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"?",">50K"
28,"Private",30912,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
30,"?",197827,"Some-college",10,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States","<=50K"
66,"Private",127921,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",2050,0,55,"United-States","<=50K"
27,"Private",387776,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","<=50K"
53,"Private",158746,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","<=50K"
18,"Private",120781,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K"
17,"?",144114,"10th",6,"Never-married","?","Own-child","White","Male",0,0,40,"United-States","<=50K"
27,"?",180553,"HS-grad",9,"Married-civ-spouse","?","Wife","White","Female",0,0,40,"United-States",">50K"
23,"Private",107452,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Private",256362,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
33,"Private",376483,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
29,"Federal-gov",224858,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,60,"United-States","<=50K"
47,"Private",67716,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
46,"Private",265105,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
62,"Private",109190,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,40,"United-States",">50K"
49,"Private",197418,"HS-grad",9,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,20,"United-States","<=50K"
34,"Local-gov",117392,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
55,"Private",197422,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",7688,0,40,"United-States",">50K"
43,"Private",238530,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
34,"Local-gov",226443,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
34,"Private",349169,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Mexico","<=50K"
45,"Private",178416,"Assoc-voc",11,"Divorced","Handlers-cleaners","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
42,"Private",42703,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
54,"Private",38795,"9th",5,"Separated","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
20,"Private",228686,"11th",7,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
56,"Self-emp-inc",24127,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,54,"United-States",">50K"
47,"Private",123207,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,20,"United-States",">50K"
55,"Private",80167,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
47,"Private",249935,"11th",7,"Divorced","Craft-repair","Own-child","White","Male",0,0,8,"United-States","<=50K"
54,"Private",178946,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,48,"United-States",">50K"
20,"Private",303565,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","Black","Male",0,0,40,"Germany","<=50K"
45,"Self-emp-inc",145697,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,30,"United-States","<=50K"
68,"Self-emp-inc",182131,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",10605,0,20,"United-States",">50K"
60,"Private",389254,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
27,"Private",177057,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
22,"Private",181773,"HS-grad",9,"Never-married","Transport-moving","Own-child","Black","Male",0,0,40,"United-States","<=50K"
62,"Local-gov",180162,"9th",5,"Divorced","Protective-serv","Not-in-family","Black","Male",0,0,24,"United-States","<=50K"
49,"Self-emp-inc",34998,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States","<=50K"
60,"State-gov",198815,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,20,"Mexico","<=50K"
45,"Private",264526,"Assoc-acdm",12,"Divorced","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
22,"Private",304602,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
47,"Private",106255,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
66,"Federal-gov",38621,"Assoc-voc",11,"Widowed","Other-service","Unmarried","Black","Female",3273,0,40,"United-States","<=50K"
19,"Private",237848,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,3,"United-States","<=50K"
24,"Private",329408,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
39,"Private",175390,"HS-grad",9,"Never-married","Sales","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
48,"Private",152915,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
25,"Private",27678,"Some-college",10,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,60,"United-States","<=50K"
63,"?",97823,"11th",7,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States","<=50K"
63,"Private",100099,"9th",5,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
65,"Private",23580,"Bachelors",13,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
43,"Private",111895,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
61,"Private",159822,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"Poland",">50K"
34,"State-gov",173730,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,38,"United-States","<=50K"
20,"Private",238917,"11th",7,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,32,"Mexico","<=50K"
34,"Private",111985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
53,"Federal-gov",173093,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Asian-Pac-Islander","Female",0,1887,40,"Philippines",">50K"
41,"Self-emp-not-inc",229148,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,0,60,"Jamaica","<=50K"
29,"Private",406826,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
34,"Private",182401,"Assoc-acdm",12,"Divorced","Adm-clerical","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
50,"Private",400004,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States","<=50K"
